from	to	action	doi	primary
CBM39	GH16	COEXISTS	CAZy	1
CBM40	GH33	COEXISTS	CAZy	1
CBM42	GH54	COEXISTS	CAZy	1
CBM48	GH13	COEXISTS	CAZy	1
CBM49	GH9	COEXISTS	CAZy	1
CBM50	GH18	COEXISTS	CAZy	1
CBM50	GH19	COEXISTS	CAZy	1
CBM50	GH23	COEXISTS	CAZy	1
CBM50	GH24	COEXISTS	CAZy	1
CBM50	GH25	COEXISTS	CAZy	1
CBM50	GH73	COEXISTS	CAZy	1
CBM51	GH2	COEXISTS	CAZy	1
CBM51	GH27	COEXISTS	CAZy	1
CBM51	GH31	COEXISTS	CAZy	1
CBM51	GH95	COEXISTS	CAZy	1
CBM51	GH98	COEXISTS	CAZy	1
CBM51	GH101	COEXISTS	CAZy	1
CBM52	GH81	COEXISTS	CAZy	1
CBM61	GH16	COEXISTS	CAZy	1
CBM61	GH30	COEXISTS	CAZy	1
CBM61	GH31	COEXISTS	CAZy	1
CBM61	GH43	COEXISTS	CAZy	1
CBM61	GH53	COEXISTS	CAZy	1
CBM61	GH66	COEXISTS	CAZy	1
CBM74	GH13	COEXISTS	CAZy	1
CBM75	GH43_16	COEXISTS	CAZy	1
CBM76	GH44	COEXISTS	CAZy	1
CBM78	GH5	COEXISTS	CAZy	1
CBM78	GH26	COEXISTS	CAZy	1
CBM79	GH9	COEXISTS	CAZy	1
CBM80	GH5	COEXISTS	CAZy	1
CBM80	GH26	COEXISTS	CAZy	1
CBM81	GH5_2	COEXISTS	CAZy	1
CBM84	GH9	COEXISTS	CAZy	1
CBM90	PL24	COEXISTS	CAZy	1
CBM90	PL28	COEXISTS	CAZy	1
